world,rep,contrast,shifted,primary_call,rule_diverging,rule_equivalent
invariant,11,environment:EAST-WEST,False,inconclusive,False,False
invariant,11,decentralization:EAST-WEST,False,inconclusive,False,False
invariant,12,immigration:RR-CON,False,inconclusive,False,False
invariant,12,immigration:RR-CD,False,inconclusive,False,False
invariant,12,environment:ECO-SD,False,inconclusive,False,False
invariant,12,taxspend:SOC-CON,False,equivalent,False,False
invariant,12,social:RR-LIB,False,equivalent,False,False
invariant,12,taxspend:EAST-WEST,False,equivalent,False,True
invariant,12,social:EAST-WEST,False,equivalent,False,True
invariant,12,immigration:EAST-WEST,False,equivalent,False,True
invariant,12,eu:EAST-WEST,False,equivalent,False,True
invariant,12,environment:EAST-WEST,False,equivalent,False,True
invariant,12,decentralization:EAST-WEST,False,inconclusive,False,False
invariant,13,immigration:RR-CON,False,inconclusive,False,False
invariant,13,immigration:RR-CD,False,inconclusive,False,False
invariant,13,environment:ECO-SD,False,inconclusive,False,False
invariant,13,taxspend:SOC-CON,False,inconclusive,False,False
invariant,13,social:RR-LIB,False,equivalent,False,False
invariant,13,taxspend:EAST-WEST,False,equivalent,False,True
invariant,13,social:EAST-WEST,False,equivalent,False,True
invariant,13,immigration:EAST-WEST,False,equivalent,False,True
invariant,13,eu:EAST-WEST,False,equivalent,False,True
invariant,13,environment:EAST-WEST,False,equivalent,False,True
invariant,13,decentralization:EAST-WEST,False,inconclusive,False,False
invariant,14,immigration:RR-CON,False,inconclusive,False,False
invariant,14,immigration:RR-CD,False,inconclusive,False,False
invariant,14,environment:ECO-SD,False,inconclusive,False,False
invariant,14,taxspend:SOC-CON,False,inconclusive,False,False
invariant,14,social:RR-LIB,False,equivalent,False,False
invariant,14,taxspend:EAST-WEST,False,equivalent,False,True
invariant,14,social:EAST-WEST,False,equivalent,False,True
invariant,14,immigration:EAST-WEST,False,equivalent,False,True
invariant,14,eu:EAST-WEST,False,equivalent,False,True
invariant,14,environment:EAST-WEST,False,inconclusive,False,False
invariant,14,decentralization:EAST-WEST,False,inconclusive,False,False
invariant,15,immigration:RR-CON,False,inconclusive,False,False
invariant,15,immigration:RR-CD,False,inconclusive,False,False
invariant,15,environment:ECO-SD,False,equivalent,False,False
invariant,15,taxspend:SOC-CON,False,inconclusive,False,False
invariant,15,social:RR-LIB,False,equivalent,False,False
invariant,15,taxspend:EAST-WEST,False,equivalent,False,True
invariant,15,social:EAST-WEST,False,equivalent,False,True
invariant,15,immigration:EAST-WEST,False,equivalent,False,True
invariant,15,eu:EAST-WEST,False,equivalent,False,True
invariant,15,environment:EAST-WEST,False,equivalent,False,True
invariant,15,decentralization:EAST-WEST,False,inconclusive,False,False
invariant,16,immigration:RR-CON,False,inconclusive,False,False
invariant,16,immigration:RR-CD,False,inconclusive,False,False
invariant,16,environment:ECO-SD,False,inconclusive,False,False
invariant,16,taxspend:SOC-CON,False,inconclusive,False,False
invariant,16,social:RR-LIB,False,inconclusive,False,False
invariant,16,taxspend:EAST-WEST,False,equivalent,False,True
invariant,16,social:EAST-WEST,False,equivalent,False,True
invariant,16,immigration:EAST-WEST,False,equivalent,False,False
invariant,16,eu:EAST-WEST,False,equivalent,False,True
invariant,16,environment:EAST-WEST,False,inconclusive,False,False
invariant,16,decentralization:EAST-WEST,False,inconclusive,False,False
invariant,17,immigration:RR-CON,False,equivalent,False,False
invariant,17,immigration:RR-CD,False,equivalent,False,False
invariant,17,environment:ECO-SD,False,inconclusive,False,False
invariant,17,taxspend:SOC-CON,False,equivalent,False,False
invariant,17,social:RR-LIB,False,equivalent,False,False
invariant,17,taxspend:EAST-WEST,False,equivalent,False,True
invariant,17,social:EAST-WEST,False,equivalent,False,True
invariant,17,immigration:EAST-WEST,False,inconclusive,False,False
invariant,17,eu:EAST-WEST,False,equivalent,False,True
invariant,17,environment:EAST-WEST,False,inconclusive,False,False
invariant,17,decentralization:EAST-WEST,False,inconclusive,False,False
invariant,18,immigration:RR-CON,False,inconclusive,False,False
invariant,18,immigration:RR-CD,False,equivalent,False,False
invariant,18,environment:ECO-SD,False,inconclusive,False,False
invariant,18,taxspend:SOC-CON,False,inconclusive,False,False
invariant,18,social:RR-LIB,False,equivalent,False,False
invariant,18,taxspend:EAST-WEST,False,inconclusive,False,False
invariant,18,social:EAST-WEST,False,equivalent,False,True
invariant,18,immigration:EAST-WEST,False,equivalent,False,True
invariant,18,eu:EAST-WEST,False,equivalent,False,True
invariant,18,environment:EAST-WEST,False,equivalent,False,True
invariant,18,decentralization:EAST-WEST,False,inconclusive,False,False
invariant,19,immigration:RR-CON,False,equivalent,False,False
invariant,19,immigration:RR-CD,False,equivalent,False,False
invariant,19,environment:ECO-SD,False,inconclusive,False,False
invariant,19,taxspend:SOC-CON,False,inconclusive,False,False
invariant,19,social:RR-LIB,False,equivalent,False,False
invariant,19,taxspend:EAST-WEST,False,equivalent,False,True
invariant,19,social:EAST-WEST,False,equivalent,False,True
invariant,19,immigration:EAST-WEST,False,equivalent,False,True
invariant,19,eu:EAST-WEST,False,equivalent,False,True
invariant,19,environment:EAST-WEST,False,equivalent,False,True
invariant,19,decentralization:EAST-WEST,False,inconclusive,False,False
invariant,20,immigration:RR-CON,False,equivalent,False,False
invariant,20,immigration:RR-CD,False,inconclusive,False,False
invariant,20,environment:ECO-SD,False,inconclusive,False,False
invariant,20,taxspend:SOC-CON,False,inconclusive,False,False
invariant,20,social:RR-LIB,False,equivalent,False,False
invariant,20,taxspend:EAST-WEST,False,equivalent,False,True
invariant,20,social:EAST-WEST,False,equivalent,False,True
invariant,20,immigration:EAST-WEST,False,equivalent,False,True
invariant,20,eu:EAST-WEST,False,equivalent,False,True
invariant,20,environment:EAST-WEST,False,equivalent,False,True
invariant,20,decentralization:EAST-WEST,False,inconclusive,False,False
invariant,21,immigration:RR-CON,False,equivalent,False,False
invariant,21,immigration:RR-CD,False,equivalent,False,False
invariant,21,environment:ECO-SD,False,inconclusive,False,False
invariant,21,taxspend:SOC-CON,False,inconclusive,False,False
invariant,21,social:RR-LIB,False,equivalent,False,False
invariant,21,taxspend:EAST-WEST,False,equivalent,False,True
invariant,21,social:EAST-WEST,False,equivalent,False,True
invariant,21,immigration:EAST-WEST,False,equivalent,False,True
invariant,21,eu:EAST-WEST,False,equivalent,False,True
invariant,21,environment:EAST-WEST,False,equivalent,False,True
invariant,21,decentralization:EAST-WEST,False,inconclusive,False,False
invariant,22,immigration:RR-CON,False,inconclusive,False,False
invariant,22,immigration:RR-CD,False,inconclusive,False,False
invariant,22,environment:ECO-SD,False,inconclusive,False,False
invariant,22,taxspend:SOC-CON,False,inconclusive,False,False
invariant,22,social:RR-LIB,False,inconclusive,False,False
invariant,22,taxspend:EAST-WEST,False,equivalent,False,True
invariant,22,social:EAST-WEST,False,equivalent,False,True
invariant,22,immigration:EAST-WEST,False,inconclusive,False,False
invariant,22,eu:EAST-WEST,False,inconclusive,False,False
invariant,22,environment:EAST-WEST,False,inconclusive,False,False
invariant,22,decentralization:EAST-WEST,False,inconclusive,False,False
invariant,23,immigration:RR-CON,False,inconclusive,False,False
invariant,23,immigration:RR-CD,False,inconclusive,False,False
invariant,23,environment:ECO-SD,False,inconclusive,False,False
invariant,23,taxspend:SOC-CON,False,inconclusive,False,False
invariant,23,social:RR-LIB,False,inconclusive,False,False
invariant,23,taxspend:EAST-WEST,False,equivalent,False,True
invariant,23,social:EAST-WEST,False,equivalent,False,True
invariant,23,immigration:EAST-WEST,False,equivalent,False,True
invariant,23,eu:EAST-WEST,False,equivalent,False,True
invariant,23,environment:EAST-WEST,False,equivalent,False,True
invariant,23,decentralization:EAST-WEST,False,inconclusive,False,False
invariant,24,immigration:RR-CON,False,inconclusive,False,False
invariant,24,immigration:RR-CD,False,inconclusive,False,False
invariant,24,environment:ECO-SD,False,inconclusive,False,False
invariant,24,taxspend:SOC-CON,False,inconclusive,False,False
invariant,24,social:RR-LIB,False,inconclusive,False,False
invariant,24,taxspend:EAST-WEST,False,equivalent,False,True
invariant,24,social:EAST-WEST,False,equivalent,False,True
invariant,24,immigration:EAST-WEST,False,equivalent,False,True
invariant,24,eu:EAST-WEST,False,equivalent,False,True
invariant,24,environment:EAST-WEST,False,equivalent,False,True
invariant,24,decentralization:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,0,immigration:RR-CON,False,inconclusive,False,False
invariant_lam_low,0,immigration:RR-CD,False,inconclusive,False,False
invariant_lam_low,0,environment:ECO-SD,False,inconclusive,False,False
invariant_lam_low,0,taxspend:SOC-CON,False,inconclusive,False,False
invariant_lam_low,0,social:RR-LIB,False,non-equivalent,False,False
invariant_lam_low,0,taxspend:EAST-WEST,False,equivalent,False,True
invariant_lam_low,0,social:EAST-WEST,False,equivalent,False,True
invariant_lam_low,0,immigration:EAST-WEST,False,equivalent,False,True
invariant_lam_low,0,eu:EAST-WEST,False,equivalent,False,True
invariant_lam_low,0,environment:EAST-WEST,False,equivalent,False,False
invariant_lam_low,0,decentralization:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,1,immigration:RR-CON,False,inconclusive,False,False
invariant_lam_low,1,immigration:RR-CD,False,inconclusive,False,False
invariant_lam_low,1,environment:ECO-SD,False,inconclusive,False,False
invariant_lam_low,1,taxspend:SOC-CON,False,inconclusive,False,False
invariant_lam_low,1,social:RR-LIB,False,inconclusive,False,False
invariant_lam_low,1,taxspend:EAST-WEST,False,equivalent,False,True
invariant_lam_low,1,social:EAST-WEST,False,equivalent,False,True
invariant_lam_low,1,immigration:EAST-WEST,False,equivalent,False,True
invariant_lam_low,1,eu:EAST-WEST,False,equivalent,False,True
invariant_lam_low,1,environment:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,1,decentralization:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,2,immigration:RR-CON,False,inconclusive,False,False
invariant_lam_low,2,immigration:RR-CD,False,inconclusive,False,False
invariant_lam_low,2,environment:ECO-SD,False,inconclusive,False,False
invariant_lam_low,2,taxspend:SOC-CON,False,inconclusive,False,False
invariant_lam_low,2,social:RR-LIB,False,equivalent,False,False
invariant_lam_low,2,taxspend:EAST-WEST,False,equivalent,False,True
invariant_lam_low,2,social:EAST-WEST,False,equivalent,False,True
invariant_lam_low,2,immigration:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,2,eu:EAST-WEST,False,equivalent,False,True
invariant_lam_low,2,environment:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,2,decentralization:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,3,immigration:RR-CON,False,equivalent,False,False
invariant_lam_low,3,immigration:RR-CD,False,equivalent,False,False
invariant_lam_low,3,environment:ECO-SD,False,inconclusive,False,False
invariant_lam_low,3,taxspend:SOC-CON,False,inconclusive,False,False
invariant_lam_low,3,social:RR-LIB,False,equivalent,False,False
invariant_lam_low,3,taxspend:EAST-WEST,False,equivalent,False,True
invariant_lam_low,3,social:EAST-WEST,False,equivalent,False,True
invariant_lam_low,3,immigration:EAST-WEST,False,equivalent,False,True
invariant_lam_low,3,eu:EAST-WEST,False,equivalent,False,True
invariant_lam_low,3,environment:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,3,decentralization:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,4,immigration:RR-CON,False,inconclusive,False,False
invariant_lam_low,4,immigration:RR-CD,False,equivalent,False,False
invariant_lam_low,4,environment:ECO-SD,False,inconclusive,False,False
invariant_lam_low,4,taxspend:SOC-CON,False,inconclusive,False,False
invariant_lam_low,4,social:RR-LIB,False,equivalent,False,True
invariant_lam_low,4,taxspend:EAST-WEST,False,equivalent,False,True
invariant_lam_low,4,social:EAST-WEST,False,equivalent,False,True
invariant_lam_low,4,immigration:EAST-WEST,False,equivalent,False,True
invariant_lam_low,4,eu:EAST-WEST,False,equivalent,False,True
invariant_lam_low,4,environment:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,4,decentralization:EAST-WEST,False,inconclusive,False,False
invariant_lam_low,5,immigration:RR-CON,False,inconclusive,False,False
invariant_lam_low,5,immigration:RR-CD,False,inconclusive,False,False
