stat,estimate,se,lo90,hi90,lo95,hi95,null_centre,p_family,sesoi,call,area,model,paraphrase,invalid_rate,human_min,human_max,exceeds_human_range
delta_pp:2,0.6399,1.6425,-2.189,3.1386,-2.7218,3.6553,-0.0513,0.61,3.0,inconclusive,economic,ibm-granite/granite-3.3-8b-instruct,c,0.0,-4.6316,4.0971,False
sens_diff:2,0.0512,0.015,0.0256,0.074,0.0206,0.0779,0.0007,0.0,0.05,non-equivalent,economic,ibm-granite/granite-3.3-8b-instruct,c,0.0,-0.0465,0.0536,False
fpr_diff:2,-0.0245,0.0239,-0.068,0.0127,-0.0729,0.0213,-0.0014,0.11,0.05,inconclusive,economic,ibm-granite/granite-3.3-8b-instruct,c,0.0,-0.0464,0.0323,False
delta_pp:1,2.9806,1.5475,0.2495,5.1746,-0.2702,5.7165,0.0309,0.0,3.0,inconclusive,economic,microsoft/Phi-3.5-mini-instruct,c,0.0,-4.9961,5.5263,False
sens_diff:1,0.0698,0.0207,0.0345,0.1002,0.0298,0.1068,0.0027,0.0,0.05,non-equivalent,economic,microsoft/Phi-3.5-mini-instruct,c,0.0,-0.03,0.1217,False
fpr_diff:1,0.0002,0.0206,-0.034,0.0312,-0.0412,0.0373,-0.0015,1.0,0.05,equivalent,economic,microsoft/Phi-3.5-mini-instruct,c,0.0,-0.0647,0.0514,False
delta_pp:2,1.939,1.7099,-0.7636,4.6479,-1.3374,5.2747,-0.019,0.024,3.0,inconclusive,economic,microsoft/Phi-3.5-mini-instruct,c,0.0,-4.6316,4.0971,False
sens_diff:2,0.0507,0.023,0.0105,0.084,0.0055,0.0907,0.0008,0.0,0.05,non-equivalent,economic,microsoft/Phi-3.5-mini-instruct,c,0.0,-0.0465,0.0536,False
fpr_diff:2,-0.0023,0.0224,-0.0398,0.0344,-0.0466,0.0419,-0.0009,1.0,0.05,equivalent,economic,microsoft/Phi-3.5-mini-instruct,c,0.0,-0.0464,0.0323,False
delta_pp:1,5.1812,1.5503,2.6336,7.6318,1.9281,8.2923,0.073,0.0,3.0,non-equivalent,economic,mistralai/Mistral-7B-Instruct-v0.3,c,0.0,-4.9961,5.5263,False
sens_diff:1,0.0988,0.024,0.0624,0.1392,0.0544,0.1507,0.0024,0.0,0.05,non-equivalent,economic,mistralai/Mistral-7B-Instruct-v0.3,c,0.0,-0.03,0.1217,False
fpr_diff:1,0.0167,0.0187,-0.0181,0.0452,-0.0243,0.0497,-0.0005,0.25,0.05,equivalent,economic,mistralai/Mistral-7B-Instruct-v0.3,c,0.0,-0.0647,0.0514,False
